canonical_player_id,transfermarkt_player_id,canonical_name,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
668,369684,Rasmus Kristensen,Rasmus Nissen Kristensen,0.7826,0.8946,0.8293,0.8293,given_and_surname_match_extra_middle_token,match,nickaname
1779,694186,Kristian Nökkvi Hlynsson,Kristian Hlynsson,0.72,0.8946,0.8293,0.8293,given_and_surname_match_extra_middle_token,,
1745,1015959,Yoon Doyong,Do-young Yoon,0.5,0.8275,0.9167,0.8275,other,,
1781,608407,Derensili Fernandes,Derensili Sanches Fernandes,0.7407,0.8986,0.8261,0.8261,given_and_surname_match_extra_middle_token,,
1783,272698,Mo Hamdaoui,Mohamed Hamdaoui,0.6471,0.8682,0.8148,0.8148,same_surname_diff_given_name,,
232,171410,Prince-Désir Gouano,Prince Gouano,0.7,0.9368,0.8125,0.8125,same_surname_diff_given_name,match,nickaname
33,207048,Mike van der Hoorn,Mickey van der Hart,0.3929,0.8994,0.8108,0.8108,other,No match,Different ages
623,238084,Ramon Lundqvist,Ramon Pascal Lundqvist,0.6957,0.883,0.8108,0.8108,given_and_surname_match_extra_middle_token,match,nickaname
1785,502561,Filip Delaveris,Filip Møller Delaveris,0.6957,0.8964,0.8108,0.8108,given_and_surname_match_extra_middle_token,,
67,284165,Steven Berghuis,Steven Bergwijn,0.5238,0.92,0.8,0.8,same_given_name_diff_surname,No match,Different ages
437,277772,Ben Rienstra,Daan Rienstra,0.5,0.8675,0.8,0.8,same_surname_diff_given_name,No match,Different ages
962,64506,Daan Rienstra,Ben Rienstra,0.5,0.8675,0.8,0.8,same_surname_diff_given_name,No match,Different ages
1786,551695,Lassina Franck Traoré,Lassina Traoré,0.6818,0.9048,0.8,0.8,given_and_surname_match_extra_middle_token,,
