fbref_name,whoscored_name,team,season_id,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint
Aaron Meijers,Aaron Meijers,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Danny Holla,Danny Holla,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Wilfried Kanon,Wilfried Kanon,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Christian Supusepa,Christian Supusepa,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Martijn de Zwart,Martijn de Zwart,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Papito Merencia,Papito Merencia,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Robin Buwalda,Robin Buwalda,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kevin Jansen,Kevin Jansen,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Malcolm Esajas,Malcolm Esajas,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ninos Gouriye,Ninos Gouriye,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Michiel Kramer,Michiel Kramer,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Gino Coutinho,Gino Coutinho,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jerson Cabral,Jerson Cabral,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ricky van Haaren,Ricky van Haaren,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Vito Wormgoor,Vito Wormgoor,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Yanic Wildschut,Yanic Wildschut,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Dion Malone,Dion Malone,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mike van Duinen,Mike van Duinen,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mathias Gehrt,Mathias Gehrt,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Danny Bakker,Danny Bakker,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Tom Beugelsdijk,Tom Beugelsdijk,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Robert Zwinkels,Robert Zwinkels,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Roland Alberg,Roland Alberg,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mitchell Schet,Mitchell Schet,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Gianni Zuiverloon,Gianni Zuiverloon,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Toby Alderweireld,Toby Alderweireld,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Stefano Denswil,Stefano Denswil,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Niklas Moisander,Niklas Moisander,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Danny Hoesen,Danny Hoesen,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Joël Veltman,Joël Veltman,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Daley Blind,Daley Blind,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ricardo Kishna,Ricardo Kishna,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mike van der Hoorn,Mike van der Hoorn,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ruben Ligeon,Ruben Ligeon,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Christian Eriksen,Christian Eriksen,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Christian Poulsen,Christian Poulsen,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Nicolai Boilesen,Nicolai Boilesen,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Lerin Duarte,Lerin Duarte,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ricardo van Rhijn,Ricardo van Rhijn,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Siem de Jong,Siem de Jong,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jasper Cillessen,Jasper Cillessen,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Viktor Fischer,Viktor Fischer,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Lesly de Sa,Lesly de Sa,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Davy Klaassen,Davy Klaassen,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Lucas Andersen,Lucas Andersen,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Lasse Schöne,Lasse Schöne,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Thulani Serero,Thulani Serero,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Tobias Sana,Tobias Sana,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kenneth Vermeer,Kenneth Vermeer,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jaïro Riedewald,Jairo Riedewald,Ajax,2013,0.6842,1.0,1.0,1.0,exact_after_normalize
Markus Henriksen,Markus Henriksen,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Roy Beerens,Roy Beerens,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mattias Johansson,Mattias Johansson,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Nemanja Gudelj,Nemanja Gudelj,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jeffrey Gouweleeuw,Jeffrey Gouweleeuw,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Aron Jóhannsson,Aron Jóhannsson,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Donny Gorter,Donny Gorter,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Esteban Alvarado,Esteban Alvarado,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Wesley Hoedt,Wesley Hoedt,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Nick Viergever,Nick Viergever,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jan Wuytens,Jan Wuytens,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Etiënne Reijnen,Etiënne Reijnen,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Thom Haye,Thom Haye,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ridgeciano Haps,Ridgeciano Haps,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Celso Ortiz,Celso Ortiz,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Fernando Lewis,Fernando Lewis,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Steven Berghuis,Steven Berghuis,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Simon Poulsen,Simon Poulsen,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Maarten Martens,Maarten Martens,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Willie Overtoom,Willie Overtoom,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Viktor Elm,Viktor Elm,AZ Alkmaar,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Denni Avdić,Denni Avdic,AZ Alkmaar,2013,0.7143,1.0,1.0,1.0,exact_after_normalize
Mohamed El Makrini,Mohamed El Makrini,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Oebele Schokker,Oebele Schokker,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Lucas Bijker,Lucas Bijker,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Wout Droste,Wout Droste,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Leonard Nienhuis,Leonard Nienhuis,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Martijn van der Laan,Martijn van der Laan,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ramon Leeuwin,Ramon Leeuwin,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Harm Zeinstra,Harm Zeinstra,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Elvis Manu,Elvis Manu,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Martijn Barto,Martijn Barto,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jody Lukoki,Jody Lukoki,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Bart van Brakel,Bart van Brakel,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Bob Schepers,Bob Schepers,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Robert van Boxel,Robert van Boxel,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Marlon Pereira,Marlon Pereira,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Paul Mulders,Paul Mulders,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mart Dijkstra,Mart Dijkstra,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Marcel Ritzmaier,Marcel Ritzmaier,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kevin Brands,Kevin Brands,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Oliver Feldballe,Oliver Feldballe,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Michiel Hemmen,Michiel Hemmen,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Erik Bakker,Erik Bakker,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Bartholomew Ogbeche,Bartholomew Ogbeche,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Paco van Moorsel,Paco van Moorsel,Cambuur,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Alexander Christovão,Alexander Christovao,Cambuur,2013,0.75,1.0,1.0,1.0,exact_after_normalize
Jordy Clasie,Jordy Clasie,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Elvis Manu,Elvis Manu,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kostas Lamprou,Kostas Lamprou,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Bruno Martins Indi,Bruno Martins Indi,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mitchell te Vrede,Mitchell te Vrede,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Sekou Cissé,Sekou Cissé,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jordy van Deelen,Jordy van Deelen,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ruud Vormer,Ruud Vormer,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jean-Paul Boëtius,Jean-Paul Boëtius,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Joris Mathijsen,Joris Mathijsen,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Lex Immers,Lex Immers,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Terence Kongolo,Terence Kongolo,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ronald Graafland,Ronald Graafland,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Erwin Mulder,Erwin Mulder,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Samuel Armenteros,Samuel Armenteros,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Sven van Beek,Sven van Beek,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Wesley Verhoek,Wesley Verhoek,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Otman Bakkal,Otman Bakkal,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Graziano Pellè,Graziano Pellè,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
John Goossens,John Goossens,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Daryl Janmaat,Daryl Janmaat,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Miquel Nelom,Miquel Nelom,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Stefan de Vrij,Stefan de Vrij,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ruben Schaken,Ruben Schaken,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Tonny Vilhena,Tonny Vilhena,Feyenoord,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Joey Godee,Joey Godee,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mawouna Amevor,Mawouna Amevor,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Xandro Schenk,Xandro Schenk,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Eloy Room,Eloy Room,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Sjoerd Overgoor,Sjoerd Overgoor,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Xander Houtkoop,Xander Houtkoop,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Bart Vriends,Bart Vriends,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Thomas Azevedo,Thomas Azevedo,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Lars Lambooij,Lars Lambooij,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jeffrey Rijsdijk,Jeffrey Rijsdijk,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Patrick ter Mate,Patrick ter Mate,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Erik Falkenburg,Erik Falkenburg,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Joran Pot,Joran Pot,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Omar Kavak,Omar Kavak,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Stephan Andersen,Stephan Andersen,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Marnix Kolder,Marnix Kolder,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Doke Schmidt,Doke Schmidt,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ridgeciano Haps,Ridgeciano Haps,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jarchinio Antonia,Jarchinio Antonia,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jop van der Linden,Jop van der Linden,Go Ahead Eagles,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Deniz Turuc,Deniz Türüç,Go Ahead Eagles,2013,0.4118,1.0,1.0,1.0,exact_after_normalize
Jordy Buijs,Jordy Buijs,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Anthony Lurling,Anthony Lurling,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Elson Hooi,Elson Hooi,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Alex Schalk,Alex Schalk,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Joey Suk,Joey Suk,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Rydell Poepon,Rydell Poepon,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Stipe Perica,Stipe Perica,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Boldizsár Bodor,Boldizsár Bodor,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Adnane Tighadouini,Adnane Tighadouini,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Anouar Hadouir,Anouar Hadouir,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Tim Gilissen,Tim Gilissen,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mats Seuntjens,Mats Seuntjens,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Peter Gommeren,Peter Gommeren,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kenny van der Weg,Kenny van der Weg,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jelle ten Rouwelaar,Jelle ten Rouwelaar,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Gill Swerts,Gill Swerts,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Sepp De Roover,Sepp De Roover,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Henrico Drost,Henrico Drost,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jeffrey Sarpong,Jeffrey Sarpong,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Danny Verbeek,Danny Verbeek,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kees Kwakman,Kees Kwakman,NAC Breda,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Uroš Matić,Uros Matic,NAC Breda,2013,0.4667,1.0,1.0,1.0,exact_after_normalize
Marcel Stutter,Marcel Stutter,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Navarone Foor,Navarone Foor,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jordy Tutuarima,Jordy Tutuarima,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jakob Jantscher,Jakob Jantscher,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Geoffrey Castillion,Geoffrey Castillion,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Danzell Gravenberch,Danzell Gravenberch,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Marnick Vermijl,Marnick Vermijl,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Youri Loen,Youri Loen,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Daan Disveld,Daan Disveld,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Dennis Gentenaar,Dennis Gentenaar,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Rens van Eijden,Rens van Eijden,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Lasse Nielsen,Lasse Nielsen,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ryan Koolwijk,Ryan Koolwijk,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Michael Higdon,Michael Higdon,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Victor Pálsson,Victor Pálsson,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jeffrey Leiwakabessy,Jeffrey Leiwakabessy,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Michel Breuer,Michel Breuer,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Christoph Hemlein,Christoph Hemlein,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kevin Conboy,Kevin Conboy,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Daan Bovenberg,Daan Bovenberg,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Seydina Diarra,Seydina Diarra,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Tobias Haitz,Tobias Haitz,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Søren Rieks,Søren Rieks,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Hans Mulder,Hans Mulder,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Cihat Çelik,Cihat Çelik,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Karl-Johan Johnsson,Karl-Johan Johnsson,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Alireza Jahanbakhsh,Alireza Jahanbakhsh,NEC Nijmegen,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Samuel Štefánik,Samuel Stefánik,NEC Nijmegen,2013,0.7222,1.0,1.0,1.0,exact_after_normalize
Pavel Čmovš,Pavel Cmovs,NEC Nijmegen,2013,0.4118,1.0,1.0,1.0,exact_after_normalize
Jürgen Locadia,Jürgen Locadia,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Bryan Ruiz,Bryan Ruiz,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Luciano Narsingh,Luciano Narsingh,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Park Ji-sung,Park Ji-Sung,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Oscar Hiljemark,Oscar Hiljemark,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jetro Willems,Jetro Willems,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Abel Tamata,Abel Tamata,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Stijn Schaars,Stijn Schaars,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jorrit Hendrix,Jorrit Hendrix,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Santiago Arias,Santiago Arias,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jeffrey Bruma,Jeffrey Bruma,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Zakaria Bakkali,Zakaria Bakkali,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Adam Maher,Adam Maher,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ola Toivonen,Ola Toivonen,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jeroen Zoet,Jeroen Zoet,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Florian Jozefzoon,Florian Jozefzoon,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Joshua Brenet,Joshua Brenet,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Georginio Wijnaldum,Georginio Wijnaldum,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Peter van Ooijen,Peter van Ooijen,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Karim Rekik,Karim Rekik,PSV,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Tim Matavž,Tim Matavz,PSV,2013,0.6923,1.0,1.0,1.0,exact_after_normalize
Jean-David Beauguel,Jean-David Beauguel,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Denzel Slager,Denzel Slager,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Robert Braber,Robert Braber,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kenny Anderson,Kenny Anderson,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Arjan van Dijk,Arjan van Dijk,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mitch Apau,Mitch Apau,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kenny Van Hoevelen,Kenny van Hoevelen,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jonas Ivens,Jonas Ivens,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Sander Duits,Sander Duits,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Imad Najah,Imad Najah,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mart Lieder,Mart Lieder,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Evander Sno,Evander Sno,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Aurélien Joachim,Aurélien Joachim,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Romeo Castelen,Romeo Castelen,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jos Peltzer,Jos Peltzer,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Peter Jungschläger,Peter Jungschläger,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ingo van Weert,Ingo van Weert,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Damiano Schet,Damiano Schet,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Prince-Désir Gouano,Prince-Désir Gouano,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Michael Lamey,Michael Lamey,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mickaël Tavares,Mickaël Tavares,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Frank van Mosselveld,Frank van Mosselveld,RKC Waalwijk,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Daniël de Ridder,Daniel de Ridder,RKC Waalwijk,2013,0.6842,1.0,1.0,1.0,exact_after_normalize
Jan Šeda,Jan Seda,RKC Waalwijk,2013,0.5,1.0,1.0,1.0,exact_after_normalize
Cuco Martina,Cuco Martina,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Nils Röseler,Nils Röseler,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Willem Janssen,Willem Janssen,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jesús Corona,Jesús Corona,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Tim Hölscher,Tim Hölscher,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Felitciano Zschusschen,Felitciano Zschusschen,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Peter Wisgerhof,Peter Wisgerhof,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Andreas Bjelland,Andreas Bjelland,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Luc Castaignos,Luc Castaignos,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Shadrach Eghan,Shadrach Eghan,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Dario Tanda,Dario Tanda,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Youness Mokhtar,Youness Mokhtar,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kyle Ebecilio,Kyle Ebecilio,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Robbert Schilder,Robbert Schilder,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Quincy Promes,Quincy Promes,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Roberto Rosales,Roberto Rosales,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Nick Marsman,Nick Marsman,Twente,2013,1.0,1.0,1.0,1.0,exact_after_normalize
