canonical_player_id,canonical_name,transfermarkt_player_id,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint
76,Wout Droste,71082,Wout Droste,1.0,1.0,1.0,1.0,exact_after_normalize
77,Leonard Nienhuis,84913,Leonard Nienhuis,1.0,1.0,1.0,1.0,exact_after_normalize
78,Martijn van der Laan,67245,Martijn van der Laan,1.0,1.0,1.0,1.0,exact_after_normalize
79,Ramon Leeuwin,60317,Ramon Leeuwin,1.0,1.0,1.0,1.0,exact_after_normalize
80,Harm Zeinstra,75221,Harm Zeinstra,1.0,1.0,1.0,1.0,exact_after_normalize
81,Elvis Manu,198070,Elvis Manu,1.0,1.0,1.0,1.0,exact_after_normalize
83,Jody Lukoki,165975,Jody Lukoki,1.0,1.0,1.0,1.0,exact_after_normalize
84,Bart van Brakel,55627,Bart van Brakel,1.0,1.0,1.0,1.0,exact_after_normalize
85,Bob Schepers,109154,Bob Schepers,1.0,1.0,1.0,1.0,exact_after_normalize
86,Robert van Boxel,4471,Robert van Boxel,1.0,1.0,1.0,1.0,exact_after_normalize
88,Paul Mulders,21515,Paul Mulders,1.0,1.0,1.0,1.0,exact_after_normalize
90,Marcel Ritzmaier,84162,Marcel Ritzmaier,1.0,1.0,1.0,1.0,exact_after_normalize
91,Kevin Brands,81346,Kevin Brands,1.0,1.0,1.0,1.0,exact_after_normalize
92,Oliver Feldballe,69634,Oliver Feldballe,1.0,1.0,1.0,1.0,exact_after_normalize
93,Michiel Hemmen,56317,Michiel Hemmen,1.0,1.0,1.0,1.0,exact_after_normalize
94,Erik Bakker,56628,Erik Bakker,1.0,1.0,1.0,1.0,exact_after_normalize
95,Bartholomew Ogbeche,5574,Bartholomew Ogbeche,1.0,1.0,1.0,1.0,exact_after_normalize
96,Paco van Moorsel,57506,Paco van Moorsel,1.0,1.0,1.0,1.0,exact_after_normalize
97,Alexander Christovão,253751,Alexander Christovao,0.75,1.0,1.0,1.0,exact_after_normalize
98,Jordy Clasie,104223,Jordy Clasie,1.0,1.0,1.0,1.0,exact_after_normalize
99,Kostas Lamprou,64352,Kostas Lamprou,1.0,1.0,1.0,1.0,exact_after_normalize
100,Bruno Martins Indi,112052,Bruno Martins Indi,1.0,1.0,1.0,1.0,exact_after_normalize
101,Mitchell te Vrede,79127,Mitchell Te Vrede,1.0,1.0,1.0,1.0,exact_after_normalize
102,Sekou Cissé,22339,Sekou Cissé,1.0,1.0,1.0,1.0,exact_after_normalize
103,Jordy van Deelen,187603,Jordy van Deelen,1.0,1.0,1.0,1.0,exact_after_normalize
104,Ruud Vormer,45864,Ruud Vormer,1.0,1.0,1.0,1.0,exact_after_normalize
105,Jean-Paul Boëtius,182574,Jean-Paul Boëtius,1.0,1.0,1.0,1.0,exact_after_normalize
106,Joris Mathijsen,4563,Joris Mathijsen,1.0,1.0,1.0,1.0,exact_after_normalize
107,Lex Immers,56371,Lex Immers,1.0,1.0,1.0,1.0,exact_after_normalize
108,Terence Kongolo,152651,Terence Kongolo,1.0,1.0,1.0,1.0,exact_after_normalize
110,Erwin Mulder,56631,Erwin Mulder,1.0,1.0,1.0,1.0,exact_after_normalize
111,Samuel Armenteros,55751,Samuel Armenteros,1.0,1.0,1.0,1.0,exact_after_normalize
112,Sven van Beek,256718,Sven van Beek,1.0,1.0,1.0,1.0,exact_after_normalize
113,Wesley Verhoek,34129,Wesley Verhoek,1.0,1.0,1.0,1.0,exact_after_normalize
114,Otman Bakkal,27491,Otman Bakkal,1.0,1.0,1.0,1.0,exact_after_normalize
115,Graziano Pellè,29594,Graziano Pellè,1.0,1.0,1.0,1.0,exact_after_normalize
116,John Goossens,35527,John Goossens,1.0,1.0,1.0,1.0,exact_after_normalize
117,Daryl Janmaat,60744,Daryl Janmaat,1.0,1.0,1.0,1.0,exact_after_normalize
118,Miquel Nelom,130257,Miquel Nelom,1.0,1.0,1.0,1.0,exact_after_normalize
