canonical_player_id,transfermarkt_player_id,canonical_name,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
1158,364938,Fredrik Aursnes,Fredrik Bjørkan,0.3333,0.8752,0.6667,0.6667,same_given_name_diff_surname,,
1414,490383,Mathias Ross,Mathias De Wolf,0.381,0.87,0.6667,0.6667,same_given_name_diff_surname,,
1699,523998,Pedro,Pedro Ruiz,0.5455,0.9,0.6667,0.6667,substring_match,,
1700,866328,Younes Taha El Idrissi,Younes Taha,0.5217,0.9,0.6667,0.6667,substring_match,,
140,187300,Jop van der Linden,Stefan van der Lei,0.3214,0.661,0.6667,0.661,other,,
39,159026,Ricardo van Rhijn,Ricardo Kishna,0.3333,0.8793,0.6452,0.6452,same_given_name_diff_surname,,
1124,503638,Mohamed Daramy,Mohamed Ihattaren,0.32,0.8684,0.6452,0.6452,same_given_name_diff_surname,,
1032,574385,Mohammed Kudus,Mohamed Daramy,0.3043,0.8571,0.6429,0.6429,other,,
627,323788,Dylan George,Dylan Seys,0.3333,0.8567,0.6364,0.6364,same_given_name_diff_surname,,
720,172202,Thomas Lam,Thomas Bruns,0.4118,0.8567,0.6364,0.6364,same_given_name_diff_surname,,
78,187300,Martijn van der Laan,Stefan van der Lei,0.3103,0.7651,0.6316,0.6316,other,,
703,396003,Thomas Enevoldsen,Thomas Marijnissen,0.3214,0.8335,0.6286,0.6286,same_given_name_diff_surname,,
195,187298,Luciano Narsingh,Luciano Slagveer,0.3077,0.8667,0.625,0.625,same_given_name_diff_surname,,
389,597104,Bilal Ould-Chikh,Walid Ould-Chikh,0.4783,0.869,0.625,0.625,same_surname_diff_given_name,,
730,72462,Luciano Slagveer,Luciano Narsingh,0.3077,0.8667,0.625,0.625,same_given_name_diff_surname,,
103,64439,Jordy van Deelen,Jordy Deckers,0.3478,0.851,0.6207,0.6207,same_given_name_diff_surname,,
753,547499,Vito van Crooij,Bart van Rooij,0.3636,0.8094,0.6207,0.6207,other,,
1208,312493,Bart van Rooij,Vito van Crooij,0.3636,0.8094,0.6207,0.6207,other,,
78,178220,Martijn van der Laan,Marco van der Heide,0.3793,0.6883,0.6154,0.6154,other,,
176,153415,Ryan Koolwijk,Ryan van Dijk,0.35,0.8462,0.6154,0.6154,same_given_name_diff_surname,,
196,4592,Park Ji-sung,Ji-sung Park,1.0,0.6111,1.0,0.6111,same_tokens_reordered,,
531,264429,Zhang Yuning,Yuning Zhang,1.0,0.6111,1.0,0.6111,same_tokens_reordered,,
327,159032,Bas Kuipers,Nick Kuipers,0.4706,0.7563,0.6087,0.6087,same_surname_diff_given_name,,
